trade_date,open,high,low,close,change,return,volume,volume_in_money
2019/12/23,5161.28,5188.85,5079.44,5084.35,-100.32,-1.94,1056525.3,9821494.4
2019/12/20,5244.21,5258.01,5182.06,5184.68,-57.06,-1.09,1179984.72,10740490.57
2019/12/19,5236.92,5255.17,5215.88,5241.74,6.61,0.13,1136662.94,11131899.52
2019/12/18,5235.48,5267.41,5221.7,5235.12,-0.94,-0.02,1292643.98,12638073.68
2019/12/17,5167.23,5257.83,5161.15,5236.06,70.02,1.36,1502191.42,14300773.21
2019/12/16,5095.35,5166.04,5081.91,5166.04,92.35,1.82,1165225.33,11807792.28
2019/12/13,5047.9,5082.76,5029.88,5073.69,61.68,1.23,999791.84,10021479.31
2019/12/12,5025.49,5044.2,5008.37,5012,-15.28,-0.3,800554.39,8203190.61
2019/12/11,5044.94,5052.35,5007.56,5027.28,-21.77,-0.43,860110.38,8719861.83
2019/12/10,5012.47,5054.31,4998.15,5049.05,24.45,0.49,829363.3,8562136.23
2019/12/9,5020.22,5040.24,5005.84,5024.6,14.09,0.28,884864.15,9250170.41
2019/12/6,4968.04,5010.51,4954.79,5010.51,42.91,0.86,737059.57,7761589.06
2019/12/5,4927.78,4978.99,4923.11,4967.6,46.93,0.95,740771.04,7799149.46
2019/12/4,4902.49,4935.57,4901.04,4920.67,-5.79,-0.12,634964.5,6504944.52
2019/12/3,4889.41,4926.45,4863.66,4926.45,21.03,0.43,603455.25,5997018.81
2019/12/2,4897.63,4930.59,4889.32,4905.42,10.48,0.21,631501.59,6151727.71
2019/11/29,4888.35,4909.41,4850.59,4894.94,5.68,0.12,613956.2,5893397.05
2019/11/28,4897.65,4916.8,4878.01,4889.26,-15,-0.31,596723.14,5692566.48
2019/11/27,4881.4,4935.63,4872.3,4904.26,22.09,0.45,726469.4,7008773.64
2019/11/26,4906.43,4920.68,4882.16,4882.16,-19.34,-0.39,812597.3,7455016.06
2019/11/25,4904.99,4915.35,4853.84,4901.5,-2.58,-0.05,863472.65,7862047.85
2019/11/22,4954.31,5018.06,4876.81,4904.08,-41.64,-0.84,880276.95,8930662.92
2019/11/21,4929.85,4963.09,4919.59,4945.72,-0.56,-0.01,661675.13,6328204.68
2019/11/20,4975.76,4991.7,4941.91,4946.28,-28.84,-0.58,789982.77,8138820
2019/11/19,4892.34,4975.11,4890.76,4975.11,82.65,1.69,723633.69,7322963.66
2019/11/18,4862.28,4901,4851.39,4892.46,24.02,0.49,639653.72,6391478.08
2019/11/15,4910.21,4936.98,4868.44,4868.44,-43.67,-0.89,700764.04,7405105.28
